,,hex,,,,,LVDS2mLVDS,eDP2mLVDS,LVDS2eDP,RGB2eDP,LVDS2mLVDS(Hex),eDP2mLVDS(Hex),LVDS2eDP(Hex),RGB2eDP(Hex),,,,
,39:32,1e,35-32,3-0,skew0<3:0>,,00100010,00100010,00100010,00100010,22,22,22,22,,,,
,,,39-36,7-4,skew1<3:0>,,,,,,0,0,00,0,,,,
,47:40,1f,43-40,3-0,skew2<3:0>,,00100010,00100010,00100010,00100010,22,22,22,22,,,,
,,,47-44,7-4,skew3<3:0>,,,,,,0,0,00,0,,,,
,55:48,20,55-48,,pctr_man1,,00010000,00010000,00010000,00010000,10,10,10,10,,,,
,63:56,21,63-56,,dctr_int1,,10000000,11101000,11101000,11101000,80,E8,E8,E8,,,,
,71:64,22,64,0,sdr_flip,0,00000100,11000100,00000100,11000000,4,C4,04,C0,,,,
,,,65,1,ddrsel,0,,,,,0,0,00,0,,,,
,,,66,2,rgb_pwd,1,,,,,0,0,00,0,,,,
,,,67,3,dctr_en,0,,,,,0,0,00,0,,,,
,,,68,4,pctr_en<0>,0,,,,,0,0,00,0,,,,
,,,69,5,pctr_en<1>,0,,,,,0,0,00,0,,,,
,,,70,6,pwd_lvds<0>,0,,,,,0,0,00,0,,,,
,,,71,7,pwd_lvds<1>,0,,,,,0,0,00,0,,,,
,79:72,23,78-72,6-0,lvds_max,1111100,01111100,01111100,11111100,01111100,7C,7C,FC,7C,,,,
,,,79,7,failen,0,,,,,0,0,00,0,,,,
,87:80,24,81-80,1-0,hscdr_vlos,0,10000000,10000000,00000000,10000000,80,80,00,80,,,,
,,,84-82,4-2,hscdr_vhys,0,,,,,0,0,00,0,,,,
,,,86-85,6-5,hscdr_lpf,0,,,,,0,0,00,0,,,,
,,,87,7,hscdr_alos_pwd,1,,,,,0,0,00,0,,,,
,95-88,25,88,0,ckmux_pwd,0,00001000,00001000,11000110,00001000,8,8,C6,8,,,,
,,,89,1,rxckdivsel,1,,,,,,,00,,,,,
,,,90,2,refcksel,1,,,,,,,00,,,,,
,,,91,3,NC,0,,,,,,,00,,,,,
,,,94-92,6-4,rxterm_vcm_sel,100,,,,,,,00,,,,,
,,,95,7,rxterm_vcm_en,1,,,,,,,00,,,,,
,103-96,26,102-96,6-0,hsrxckeq_man,0000000,00000000,11000000,00000000,11000000,0,C0,00,C0,,,,
,,,103,7,hsrxckeq_man_en,0,,,,,0,0,00,0,,,,
,135-104,27-2a,134-104,,edp_cdr_man<31:1>,0,4*00000000,4*00000000,4*00000000,4*00000000,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,
,,,135,,NC,0,,,,,0,0,00,0,,,,
,143-136,2b,142-136,6-0,hsrxeq_man,0,00000000,00000000,00000000,00000000,0,0,00,0,,,,
,,,143,7,NC,0,,,,,0,0,00,0,,,,
